
Sample:   c= .0000 mg/ml  Code: NAPI
  9.028060e-01   1.024104e+04   4.323772e+02
  9.054500e-01   1.019566e+04   4.347444e+02
  9.080930e-01   9.414291e+03   4.120523e+02
  9.107360e-01   1.051136e+04   4.349630e+02
  9.133800e-01   1.010299e+04   4.292350e+02
  9.160230e-01   1.007719e+04   4.254592e+02
  9.186660e-01   1.024657e+04   4.288056e+02
  9.213100e-01   1.081996e+04   4.363031e+02
  9.239530e-01   9.760499e+03   4.180938e+02
  9.265970e-01   1.014671e+04   4.264979e+02
  9.292400e-01   1.042614e+04   4.260005e+02
  9.318830e-01   9.354936e+03   4.078946e+02
  9.345270e-01   9.622982e+03   4.084728e+02
  9.371700e-01   1.042379e+04   4.295048e+02
  9.398140e-01   1.115117e+04   4.390771e+02
  9.424570e-01   1.024500e+04   4.182504e+02
  9.451000e-01   1.110086e+04   4.391434e+02
  9.477440e-01   1.031584e+04   4.200933e+02
  9.503870e-01   1.066930e+04   4.319872e+02
  9.530310e-01   1.041715e+04   4.170196e+02
  9.556740e-01   1.051403e+04   4.243118e+02
  9.583170e-01   1.078787e+04   4.267615e+02
  9.609610e-01   1.011146e+04   4.114293e+02
  9.636040e-01   1.033970e+04   4.189859e+02
  9.662480e-01   1.101111e+04   4.253963e+02
  9.688910e-01   1.043654e+04   4.177962e+02
  9.715340e-01   1.031911e+04   4.140917e+02
  9.741780e-01   1.088168e+04   4.203961e+02
  9.768210e-01   1.023182e+04   4.089460e+02
  9.794640e-01   1.025083e+04   4.045679e+02
  9.821080e-01   1.069957e+04   4.174300e+02
  9.847510e-01   1.044546e+04   4.145154e+02
  9.873950e-01   9.994395e+03   4.107671e+02
  9.900380e-01   1.095299e+04   4.381195e+02
  9.926810e-01   1.081262e+04   4.342452e+02
  9.953250e-01   1.074163e+04   4.403640e+02
  9.979680e-01   1.002914e+04   4.238084e+02
  1.000610e+00   1.047683e+04   4.384416e+02
  1.003250e+00   9.784519e+03   4.250123e+02
  1.005900e+00   1.061782e+04   4.443420e+02
  1.008540e+00   9.140662e+03   4.137783e+02
  1.011190e+00   1.033944e+04   4.400757e+02
